id,label,label_folder,cluster_id,is_dedup_rep,fold_full,fold_dedup,gpt_pred,claude_pred,gemini_pred,clip_zs_b32_piog,clip_zs_b32_pred,clip_zs_l14_piog,clip_zs_l14_pred,phash,md5
img_00066,1,1,455,0,3,-1,0,1,0,0.35177627205848694,0,0.22320833802223206,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00067,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00068,1,1,429,0,4,-1,0,0,0,0.24171830713748932,0,0.09677296131849289,0,b3338ccccccc3333,31b80c9dfc960bb2e7d77b59f8a71216
img_00069,1,1,19,1,2,2,1,1,1,0.5374449491500854,1,0.30229049921035767,0,eb9594e2918e6b85,74c813918a3f849219f6474ab01dd221
img_00070,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00071,1,1,23,0,4,-1,1,1,1,0.382931649684906,0,0.10168087482452393,0,bff1c00637f9d820,b1fbe415ae4ba8f1ae8a182b32d14646
img_00072,1,1,24,0,4,-1,0,1,0,0.27775833010673523,0,0.27014464139938354,0,e3349c63d99c6664,65cde28f5165fe0eb59bf292f1bbee1a
img_00073,1,1,254,1,0,1,0,1,1,0.20490936934947968,0,0.3637779951095581,0,e464db9b992464c7,ab6e7b058b450003c0f3e9c0672d4f65
img_00074,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00075,1,1,24,0,4,-1,0,1,0,0.27775833010673523,0,0.27014464139938354,0,e3349c63d99c6664,65cde28f5165fe0eb59bf292f1bbee1a
img_00076,1,1,24,0,4,-1,0,1,0,0.27775833010673523,0,0.27014464139938354,0,e3349c63d99c6664,65cde28f5165fe0eb59bf292f1bbee1a
img_00077,1,1,178,1,2,1,1,1,1,0.562692403793335,1,0.9461981058120728,1,c8a5b6137dc462ce,ffaabed059497c673e4e4df94819d791
img_00078,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00079,1,1,526,1,3,4,0,1,0,0.28154680132865906,0,0.08600029349327087,0,c06f28f02af72e2b,e9ccad38df640de41d81a306ce63fa1f
img_00080,1,1,22,0,4,-1,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00081,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00082,1,1,20,1,3,1,1,1,1,0.5970872044563293,1,0.6218504309654236,1,e01b1ee47b6b6294,28832b6f974fad526eef9a226fe02764
img_00083,1,1,21,1,2,1,1,1,1,0.5882956385612488,1,0.46235308051109314,0,eac497949e963869,394e61382db101766577e2e52df68839
img_00084,1,1,455,0,3,-1,0,1,0,0.35177627205848694,0,0.22320833802223206,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00085,1,1,22,0,4,-1,1,1,1,0.5535288453102112,1,0.8663205504417419,1,b3c61e3969e14a1d,12f8272dff53b897200542f8d9fd2a51
img_00086,1,1,23,0,4,-1,1,1,1,0.3829312026500702,0,0.101687490940094,0,bff1c00637f9d820,cf18d5239aa05192b05a45d2464eea72
img_00087,1,1,24,0,4,-1,0,1,0,0.27775833010673523,0,0.27014464139938354,0,e3349c63d99c6664,65cde28f5165fe0eb59bf292f1bbee1a
img_00088,1,1,315,0,2,-1,1,1,0,0.29784953594207764,0,0.040876585990190506,0,daa5445a310ed77a,70c4df2ccda1f41ae818bae90edb3d45
img_00089,1,1,393,1,4,1,0,0,0,0.15617679059505463,0,0.266476571559906,0,ad69cbc63432c393,6c10ce81e1affe2bcc3d7124528b1252
img_00090,1,1,429,0,4,-1,0,1,0,0.23554153740406036,0,0.06987149268388748,0,b3338ccccc663399,a29fdb6866c3f5f780546bf9927ffc3f
img_00091,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00092,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00093,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00094,1,1,187,0,4,-1,1,1,1,0.26453089714050293,0,0.08332498371601105,0,f8978776096896c9,ae0f85803e7f1b0b1a25e5dd8bcd769c
img_00095,1,1,25,1,1,0,0,0,0,0.19352546334266663,0,0.05062032490968704,0,bc3c34e26a6a4ad9,3e2a2b853c2aae644936d0c59bf28bcb
img_00096,1,1,26,1,4,2,1,1,1,0.9035032987594604,1,0.9707486629486084,1,bc6c32cb86388b9b,f68f5301bad0830416d315b5319e614a
img_00097,1,1,26,0,4,-1,1,1,1,0.890762984752655,1,0.9610376358032227,1,bc64b24dd631899b,a6d8c1761a2215ec2d2bda56079b06d5
img_00098,1,1,380,1,3,4,0,0,0,0.1468794345855713,0,0.13742119073867798,0,ec6ccc6c3131399b,3c0b6f1eac8179ef253f1742aa465238
img_00099,1,1,117,1,3,2,1,1,1,0.6133211255073547,1,0.721299409866333,1,883373d1ccd9cc6a,eeefaf2953f64048d89938a2b7bb0314
img_00100,1,1,27,1,3,4,1,1,1,0.1736190915107727,0,0.15434537827968597,0,8a9b66669b9b8338,6220d89bfd971df266614d0594960619
img_00101,1,1,28,1,3,4,1,1,1,0.5806488394737244,1,0.49516358971595764,0,bb343149d4d57a94,fbccef28769d9d0ba19cbe83d264c894
img_00102,1,1,476,1,3,1,1,1,1,0.16497734189033508,0,0.08928525447845459,0,cec63099cb666699,b15470555f9634f996b7e7c1a464ce30
img_00103,1,1,29,1,3,2,1,1,1,0.8953978419303894,1,0.8073746562004089,1,bccd236d74a289d8,fdff522c3f9cf057513c6588956d35ed
img_00104,1,1,537,0,3,-1,0,0,0,0.13704924285411835,0,0.08354012668132782,0,b333999933339989,f388691bcf4df73c6fdf1326716d015d
img_00105,1,1,30,1,4,2,1,1,1,0.46486932039260864,0,0.44037899374961853,0,8abc90e1fd8417ab,eefe56c8fdc3a580730616ec10a3d267
img_00106,1,1,31,1,3,2,1,1,0,0.3273150324821472,0,0.38697293400764465,0,dd986736c8896336,3dfa5015433e831b54c08a6202efd82a
img_00107,1,1,32,1,2,1,1,1,1,0.9515480995178223,1,0.7224348783493042,1,c06eab61bd1f621c,435c31de769460182051de0baf35bb59
img_00108,1,1,33,1,2,2,1,1,1,0.3693937063217163,0,0.3914654552936554,0,82989a6d6d926d6d,2a649b57e9b421aae32702ca9c8222dc
img_00109,1,1,34,1,2,1,1,1,1,0.43259888887405396,0,0.16922830045223236,0,c19f3e946969830f,8f2db5ef49e090c138ffe7c4af84e052
img_00110,1,1,35,1,0,3,1,1,1,0.9888030886650085,1,0.9820994138717651,1,92f76da851c9e815,d753d3c652015a00e31dd31764fb4a0f
img_00111,1,1,36,1,3,4,1,1,1,0.9609420299530029,1,0.947088360786438,1,8585a9370e5f13d3,82ce8388fcc21486fa99c08b278a118f
img_00112,1,1,265,1,2,0,0,1,0,0.5600388646125793,1,0.10774477571249008,0,c79738623831c7dc,8a5051b8ff4c66eb925be7f55b75662b
img_00113,1,1,37,1,1,4,1,1,1,0.8036458492279053,1,0.3821783661842346,0,80c76e393e4f9172,eabb9b862f7bf4abbf06fd7263057442
img_00114,1,1,526,0,3,-1,0,1,0,0.30009737610816956,0,0.07836228609085083,0,c02f38322b7d2e4f,6db8ed8ab790543934c9650452e4c9ce
img_00115,1,1,429,0,4,-1,0,1,0,0.23554153740406036,0,0.06987149268388748,0,b3338ccccc663399,a29fdb6866c3f5f780546bf9927ffc3f
img_00116,1,1,38,1,0,1,1,1,1,0.7610459923744202,1,0.8487306833267212,1,c03b326a996e3f85,bed49a952ba1d6f3403018d4bb935ed0
img_00117,1,1,254,0,0,-1,0,1,0,0.08434503525495529,0,0.0332811214029789,0,e4e41b1b9b6464ec,06f7213d6c1cd1beb5a6276064b4e6ec
img_00118,1,1,319,1,0,1,0,1,0,0.09015227109193802,0,0.05541149526834488,0,b46ccb92306dcf86,8933f9511eef9a954df9c56569d22e8f
img_00119,1,1,472,0,2,-1,0,1,0,0.12690621614456177,0,0.2212846279144287,0,9999646433337bcc,90fd07903026cc5ae883efd6bfaa6bf3
img_00120,1,1,455,0,3,-1,1,1,1,0.20294255018234253,0,0.18903233110904694,0,8833cc336c7173ec,fe69ac2b3a0f4763bc0f3bcd6a11e458
img_00121,1,1,43,1,4,4,1,1,1,0.8042192459106445,1,0.8034429550170898,1,cfcd34ce60743233,f9416a0d1de1e4c60712749a81bffa25
img_00122,1,1,242,1,3,4,0,0,0,0.14120137691497803,0,0.24510441720485687,0,b326cc99316666b3,deea6e5c9ebcb53644bfa254c0a2ed69
img_00123,1,1,39,1,3,2,1,1,1,0.613241970539093,1,0.3868806064128876,0,bc3c3c1e9e9c189c,a82bbba1093db7c239c93c1a0a8b87ab
img_00124,1,1,40,1,1,2,1,1,1,0.8478231430053711,1,0.35087651014328003,0,be15e166926e154b,e79d22855798bdbb577b07174c2efedb
img_00125,1,1,411,1,0,4,1,1,1,0.6273868680000305,1,0.26438432931900024,0,9ac3e3869e937069,7dece02dce43c54ca763017741a6435e
img_00126,1,1,41,1,0,0,0,1,0,0.4437378942966461,0,0.1601305603981018,0,c8cc36b399dc62c6,cef7da46c01e03590ded3f59b316fcf5
img_00127,1,1,419,1,1,1,0,1,1,0.2601698338985443,0,0.22413671016693115,0,e666999966269999,b8054e2a276d9222228af44b278a6a44
img_00128,1,1,594,1,0,3,1,1,1,0.9887497425079346,1,0.9769998788833618,1,cd2632cd26c97cb1,5f77758a2c50d095573e477b7e9a3ae6
img_00129,1,1,542,1,2,1,1,1,1,0.7633845210075378,1,0.6385813355445862,1,e8f30d270d73c833,2cecdfd88f6833d6caba4092737d129b
img_00130,1,1,43,0,4,-1,1,1,1,0.780326247215271,1,0.7740610241889954,1,cfcd34cc66643436,1663024e864aa14e455c16741286895e
img_00131,1,1,224,1,4,0,1,1,1,0.34133800864219666,0,0.46640172600746155,0,bd33d3cb312c2cc4,402eb9a1dbed0b9e385dd5317a998896
img_00132,1,1,42,1,2,0,1,1,1,0.28145265579223633,0,0.11417701095342636,0,8a62656bec566f42,e13f409489e9994a31286ce781ff154c
img_00133,1,1,43,0,4,-1,1,1,1,0.8104965090751648,1,0.7526583075523376,1,dbcd24c664743237,83842f417e6bcce82fad477195a96162
img_00134,1,1,379,1,2,1,1,1,1,0.9831879734992981,1,0.8895693421363831,1,8add641313ec4d3b,32f9a33ebaf57d14f35b859a0812bbfd
img_00135,1,1,577,1,1,1,0,1,0,0.628595769405365,1,0.11945569515228271,0,dbdf2470d1248ccb,d80b126ff2c5bccece87546b515717cc
img_00136,1,1,511,1,4,1,1,1,1,0.41776594519615173,0,0.04970448091626167,0,a7b24c93f04f8873,1aef086eb651fe3d4766966efe733ab3
img_00137,1,1,537,0,3,-1,0,0,0,0.13704924285411835,0,0.08354012668132782,0,b333999933339989,f388691bcf4df73c6fdf1326716d015d
img_00138,1,1,250,1,3,1,1,1,0,0.4702386260032654,0,0.22554652392864227,0,fd70c24dcf8ac682,cd4c57d934af1e1610f253308d56a3b1
img_00139,1,1,419,0,1,-1,0,1,0,0.20038741827011108,0,0.11217541992664337,0,e666999966662399,b06c040f500624f46ebadd19009175e6
img_00140,1,1,339,1,4,1,0,1,0,0.48749038577079773,0,0.18576623499393463,0,c2793e351a8be472,94608e00e17011b9fa5850f36b7f8744
img_00141,1,1,378,1,3,2,0,1,1,0.37702444195747375,0,0.0699373409152031,0,8ac996b61371a4e7,afda71b7d3fe1fa8d763d0b6c106c80a
img_00142,1,1,44,1,3,3,0,1,1,0.5280144214630127,1,0.23049460351467133,0,ba40eabee240f2e3,2f0226c3ee8b6fd999ed506f60495a2c
img_00143,1,1,537,0,3,-1,0,0,0,0.13704924285411835,0,0.08354012668132782,0,b333999933339989,f388691bcf4df73c6fdf1326716d015d
img_00144,1,1,379,0,2,-1,1,1,1,0.9831879734992981,1,0.8895693421363831,1,8add641313ec4d3b,32f9a33ebaf57d14f35b859a0812bbfd
img_00145,1,1,455,0,3,-1,0,1,0,0.35177627205848694,0,0.22320833802223206,0,88336c33cc7373cc,4ed701763afc6d8370ced250b7e85da0
img_00146,1,1,45,1,4,1,0,1,0,0.1908465176820755,0,0.0679769515991211,0,c91072af54f90dd6,184fadb443ec71903f8d3ad0cb02dd88
img_00147,1,1,555,1,4,2,1,1,1,0.5200502276420593,1,0.796684205532074,1,d4242f4f4c6763cc,d6140b5b3080eb472e94d1ba2b5bfaad
img_00148,1,1,46,1,3,2,0,0,0,0.06722389161586761,0,0.08021704852581024,0,9a1ae7e58b1b3164,6cd3945c7da86fd735d91c9f9548e3e2
img_00149,1,1,47,1,3,4,1,1,1,0.9913596510887146,1,0.9935651421546936,1,888cd93d95e62ba5,3180cb785381d3de19c2aa6699a312bd
img_00150,1,1,48,1,1,0,1,1,1,0.7340711355209351,1,0.9417636394500732,1,983351496b679d8d,db6269dff010759f04cc96db5404ae7f
img_00151,1,1,49,1,0,4,0,0,0,0.3550526201725006,0,0.4343104064464569,0,e914b3fccb710e48,69f166c7781106a0bc0375523f3f6ebc
img_00152,1,1,583,1,1,4,1,1,1,0.6884201169013977,1,0.5738939046859741,1,9999cccc99993966,27db852e2c3bf56e9e55bbc362675b20
img_00153,1,1,50,1,1,4,1,1,1,0.7158276438713074,1,0.8391640782356262,1,d1a4ed30216f39da,644b17fafd0b39ec04ec9dc6c760a030
img_00154,1,1,51,1,3,2,1,1,1,0.38894161581993103,0,0.3721548616886139,0,aa9e5ba74dc83232,ab39246600adfa6c00334c0b4dc9e67f
img_00155,1,1,52,1,1,0,0,0,0,0.3509347438812256,0,0.31493377685546875,0,ed6d6d6c92929292,8f7b8d965b97d39a5d22af098731cf13
img_00156,1,1,200,1,0,3,0,0,0,0.14397434890270233,0,0.307659387588501,0,e69999662399cc66,cf71d10fe2cf56a2ae9e34fbfaaeed2f
img_00157,1,1,595,1,0,4,0,1,1,0.43828409910202026,0,0.37938469648361206,0,cc3333cccc3333cc,685f79655e555e490526ad99c454c2a6
img_00158,1,1,53,1,0,2,0,0,0,0.23843412101268768,0,0.35402992367744446,0,bc3cd3c324d3592c,76eb39342df9c961f81ca41d82ef5f28
img_00159,1,1,54,1,4,4,0,0,0,0.051508963108062744,0,0.008747893385589123,0,b71f1f378588b2c0,63ba7ad0f1b730bbdf11b7d46305a070
img_00160,1,1,588,1,3,4,1,1,1,0.9316038489341736,1,0.9564114212989807,1,933c68c26f6d95c8,0638046471219a9ba51358f5bd02ad75
img_00161,1,1,55,1,4,2,1,1,1,0.7127529978752136,1,0.5991548895835876,1,95b97757b429a20a,6c1572dcb4f514b233d165afc7b84f5c
img_00162,1,1,56,1,3,1,1,1,1,0.3058280944824219,0,0.2069084495306015,0,8b3525636c143f76,501e9b071db56389a138e4cf8e5a0358
img_00163,1,1,57,1,4,4,0,0,0,0.06286343932151794,0,0.018691999837756157,0,dd7ca1818697bac8,6742ea129637a84f6aa8144f4e114840
img_00164,1,1,361,1,3,2,0,0,0,0.3563442826271057,0,0.12267196178436279,0,bb3b161e2e6a6ac0,a16053e2a6cd30b390b6dcfadce370fa
img_00165,1,1,494,1,3,4,1,1,1,0.4483211040496826,0,0.14387328922748566,0,964f36e99ec93124,0dd32ee3b8fbefeb7511174f88a329b1
img_00166,1,1,286,1,2,2,0,1,0,0.4801587164402008,0,0.2266712784767151,0,9966669999666699,5761409be39aeafb96f4ef6c600a63cd
img_00167,1,1,537,0,3,-1,0,0,0,0.13704924285411835,0,0.08354012668132782,0,b333999933339989,f388691bcf4df73c6fdf1326716d015d
img_00168,1,1,557,1,1,1,1,1,1,0.34977737069129944,0,0.1626957505941391,0,8095d6e3666b686b,eec47bfa945810346ff8b7c757ef9076
img_00169,1,1,58,1,3,1,0,0,0,0.051755622029304504,0,0.008636645041406155,0,a459ef9b2c60d386,d67b5135c407858815be0c2b6c7acb2c
img_00170,1,1,417,1,1,3,1,1,1,0.8925542831420898,1,0.9910318851470947,1,8e9c30e64eacc477,0ce7792feb7ce89e4399f6384e3cccd1
img_00171,1,1,568,1,2,0,0,1,0,0.11834529042243958,0,0.12493312358856201,0,b331cc663399cc66,e4a24e39c06f50c963b419f0fca0c295
img_00172,1,1,595,0,0,-1,0,1,1,0.4699830114841461,0,0.5359652042388916,1,cc3333cccc3333cc,5704838d675982bc7882c061e76b044d
img_00173,1,1,59,1,0,0,1,1,1,0.4098900556564331,0,0.9429135918617249,1,c0807f7caaaa959d,facbca48d31da96c24054613fe6b86ed
img_00174,1,1,60,1,1,4,1,1,1,0.2463250607252121,0,0.15988212823867798,0,80d19494d76b7c3e,a44ec6486939940c9912d4ba36c4fcc8
img_00175,1,1,61,1,0,3,1,1,1,0.6093775033950806,1,0.459515243768692,0,80b42fde2f3b901e,df46580802e628b27b1d536713b65f7a
